"GEOID","tot_can","MINORPCT","LOWINCPCT","LESSHSPCT","LINGISOPCT","UNDER5PCT","OVER64PCT","SUM_ECSI_open","SUM_LUST_open","countAdv","all_cat","PM25_EPA","PM25_NWAQ_MAX","PM25_Mean_NWAQ","min_dec","min_quin","un5_dec","un5_quin","o64_dec","o64_quin","lhs_dec","lhs_quin","inc_dec","inc_quin","lin_dec","lin_quin","lus_av","lus_max","lus_num"
410170016002,22.07009826,0.30263789,0.468551926,0.142857143,0.058823529,0.058992806,0.118465228,12,1,NA,"High",6.215292,6,6,"(0.266,0.336]",8,"(0.0588,0.0686]",7,"(0.113,0.134]",4,"(0.122,0.157]",8,"(0.432,0.499]",8,"(0.0404, 0.0748]",9,NA,NA,NA
410170016003,22.07009826,0.269905956,0.412872841,0.055930569,0.009715475,0.079623824,0.118808777,0,0,NA,"High",6.215292,6,6,"(0.266,0.336]",8,"(0.0686,0.0812]",8,"(0.113,0.134]",4,"(0.0447,0.0616]",4,"(0.38,0.432]",7,"(0.07901, 0.0218]",7,NA,NA,NA
410170017001,21.75907901,0.177658567,0.311824539,0.056184486,0.009708738,0.05396024,0.207636478,0,0,NA,"Low",6.297538,6,6,"(0.172,0.212]",6,"(0.0505,0.0588]",6,"(0.183,0.21]",7,"(0.0447,0.0616]",4,"(0.283,0.331]",5,"(0.07901, 0.0218]",7,NA,NA,NA
410170017002,21.75907901,0.202191235,0.320219124,0.075110457,0,0.057768924,0.114541833,0,1,NA,"Low",6.297538,6,6,"(0.172,0.212]",6,"(0.0505,0.0588]",6,"(0.113,0.134]",4,"(0.0616,0.0788]",5,"(0.283,0.331]",5,"(0, 0]",1,NA,NA,NA
410170017003,21.75907901,0.093002657,0.377325066,0.117780294,0,0.062887511,0.166519043,0,0,NA,"Low",6.297538,6,6,"(0.0826,0.109]",3,"(0.0588,0.0686]",7,"(0.158,0.183]",6,"(0.0968,0.122]",7,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
410170017004,21.75907901,0.132113012,0.3350577,0.047889099,0,0.086748906,0.086350975,0,0,NA,"Low",6.297538,6,6,"(0.109,0.139]",4,"(0.0812,0.1]",9,"(0.066,0.0936]",2,"(0.0447,0.0616]",4,"(0.331,0.38]",6,"(0, 0]",1,NA,NA,NA
410170018001,20.42557346,0.128727634,0.592942346,0.215053763,0,0.058648111,0.243538767,2,0,NA,"Low",6.188596,6,6,"(0.109,0.139]",4,"(0.0505,0.0588]",6,"(0.21,0.248]",8,"(0.213,1]",10,"(0.592,1]",10,"(0, 0]",1,NA,NA,NA
410170018002,20.42557346,0.125094769,0.267815192,0.026984127,0,0.013646702,0.230477635,1,1,NA,"Low",6.188596,6,6,"(0.109,0.139]",4,"(0.00931,0.023]",2,"(0.21,0.248]",8,"(0.0114,0.0282]",2,"(0.233,0.283]",4,"(0, 0]",1,NA,NA,NA
410170018003,20.42557346,0.251151109,0.419003767,0.074839629,0.015761821,0.117622436,0.163248221,1,1,NA,"Low",6.188596,6,6,"(0.212,0.266]",7,"(0.1,0.245]",10,"(0.158,0.183]",6,"(0.0616,0.0788]",5,"(0.38,0.432]",7,"(0.07901, 0.0218]",7,NA,NA,NA
410170018004,20.42557346,0.229754049,0.504678727,0.102414045,0,0.090581884,0.267546491,0,0,NA,"Low",6.188596,6,6,"(0.212,0.266]",7,"(0.0812,0.1]",9,"(0.248,0.309]",9,"(0.0968,0.122]",7,"(0.499,0.592]",9,"(0, 0]",1,NA,NA,NA
410170019011,17.12703285,0.095378564,0.182890855,0.039776692,0,0.023107178,0.219764012,0,0,NA,"Low",6.066032,6,5.317516,"(0.0826,0.109]",3,"(0.023,0.0324]",3,"(0.21,0.248]",8,"(0.0282,0.0447]",3,"(0.177,0.233]",3,"(0, 0]",1,NA,NA,NA
